City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,simbahan,6.3032,120.5836,301.38,74,88,1.78,PH,1669998008
1,marpod,45.8714,24.4965,277.25,83,80,0.9,RO,1669998009
2,camacha,33.0833,-16.3333,290.83,68,75,8.75,PT,1669998009
3,gazojak,41.1875,61.4036,270.97,28,0,3.75,TM,1669998010
4,vaini,-21.2,-175.2,296.24,94,20,0.0,TO,1669998010
5,saldanha,-33.0117,17.9442,290.13,60,41,7.2,ZA,1669998011
6,mataura,-46.1927,168.8643,283.42,72,100,1.66,NZ,1669998012
7,santa rosa,14.3122,121.1114,301.14,81,90,4.72,PH,1669997464
8,izhma,65.0083,53.9113,264.66,96,100,2.31,RU,1669998013
9,yellowknife,62.456,-114.3525,238.44,75,20,3.09,CA,1669998013
10,maceio,-9.6658,-35.7353,302.84,61,40,8.23,BR,1669998014
11,haines junction,60.7522,-137.5108,248.12,77,98,0.51,CA,1669998014
12,komarikhinskiy,58.0979,57.1163,255.47,94,11,0.92,RU,1669998015
13,souillac,-20.5167,57.5167,298.36,73,40,1.54,MU,1669998015
14,kapaa,22.0752,-159.319,293.33,80,20,3.09,US,1669998016
15,port alfred,-33.5906,26.891,292.14,75,45,4.47,ZA,1669998016
16,alexandria,31.2156,29.9553,293.3,66,60,5.49,EG,1669997319
17,clyde river,70.4692,-68.5914,251.28,77,100,15.43,CA,1669998017
18,cape town,-33.9258,18.4232,293.3,59,75,6.69,ZA,1669998004
19,mayo,38.8876,-76.5119,281.12,58,0,4.63,US,1669997813
20,kungurtug,50.5994,97.5228,245.02,99,94,0.6,RU,1669998018
21,cape canaveral,28.4058,-80.6048,300.19,57,0,6.17,US,1669998019
22,portland,45.5234,-122.6762,276.42,84,75,4.12,US,1669997791
23,hobart,-42.8794,147.3294,284.85,90,85,2.57,AU,1669997835
24,dzhebariki-khaya,62.2167,135.8,234.69,100,99,0.55,RU,1669998020
25,puerto ayora,-0.7393,-90.3518,298.13,85,90,4.92,EC,1669998020
26,sao joao da barra,-21.6403,-41.0511,298.2,94,100,9.41,BR,1669998021
27,ancud,-41.8697,-73.8203,286.18,96,100,7.27,CL,1669998022
28,jamestown,42.097,-79.2353,276.92,64,100,6.69,US,1669998022
29,arraial do cabo,-22.9661,-42.0278,299.07,78,75,12.86,BR,1669998023
30,tiksi,71.6872,128.8694,251.87,84,100,5.38,RU,1669998023
31,albany,42.6001,-73.9662,277.05,61,30,0.45,US,1669997729
32,punta arenas,-53.15,-70.9167,290.21,45,40,15.95,CL,1669997729
33,thompson,55.7435,-97.8558,239.24,68,20,1.54,CA,1669998024
